cause,category_cause,effect,category_effect,relationship,frequency,num_papers,main_confidence,sample_evidence
disulfide bond,structure,stability,stability,positive,20,19,high,a stable bivalent Fv molecule... linked to each other by a disulfide bond
formulation,formulation,stability,stability,stabilizes,17,17,high,"specific interactions are observed at the residue tyrosine-135, which is part of the epitopic sequence."
glycosylation,sequence,stability,stability,modifies,15,15,high,monitor the variation of the glycosylation during manufacture
thermal stress,stress,aggregation,stability,promotes,13,13,high,common stresses leading to antibody aggregation include exposure to heat
formulation,formulation,biological activity,quality_outcome,stabilizes,12,12,high,average duration of CD25 saturation was prolonged by 39% in the presence of azathioprine
concentration,formulation,aggregation,stability,promotes,12,12,high,"minimal aggregation by SE-HPLC resulted, presumably because of self-stabilization of the mAbs"
formulation,formulation,instability,stability,promotes,11,11,high,Pexelizumab administration...is associated with a reduction in postoperative chest tube drainage.
high concentration,formulation,aggregation,stability,promotes,11,11,high,"propensity of mAbs to self-associate at elevated concentrations, which can lead to undesirable solution properties such "
temperature,stress,aggregation,stability,promotes,11,11,high,"Isothermal incubation at 56.5 degrees C, 40 degrees C, and 2 degrees C-8 degrees C resulted in aggregation."
light exposure,stress,oxidation,stability,promotes,11,11,high,monoclonal antibody undergoes a combination of physical and chemical reactions
binding activity,structure,biological activity,stability,inhibits,10,10,high,These regions of IL-1beta were protected from exchange because of antibody binding.
agitation,stress,aggregation,stability,promotes,10,9,high,A synergistic stimulation of aggregation by a combination of agitation and silicone oil was observed.
glycosylation,sequence,impact,quality_outcome,modifies,9,9,high,glycosylation... considered as a critical quality attribute due to its major impact on safety and efficacy
sucrose,formulation,stability,stability,positive,9,9,high,sucrose remains the primary stabilizing agent for the antibody in the solid state
excipients,formulation,stability,stability,positive,9,9,high,dextran sulphate was added to keep the Mab in solution.
low pH,stress,aggregation,stability,promotes,9,9,high,"Antibody aggregation was induced by four different stress factors: high temperature, low pH, addition of fatty acids, an"
pH,formulation,stability,stability,modifies,8,7,high,The effect of pH appears to couple mAb dynamics to solvent fluctuations.
formulation,formulation,aggregation,stability,inhibits,8,8,high,differences in protein aggregation levels due to different formulations
n-glycosylation,sequence,stability,stability,modifies,8,8,high,These oligosaccharides differ mainly in degree of sialylation with N-glycolyl neuraminic acid and extent of galactosylat
glycosylation,sequence,binding activity,quality_outcome,modifies,8,7,high,Fc-glycosylation of monoclonal antibodies (mAbs) has profound implications on the Fc-mediated effector functions.
pH,formulation,aggregation,stability,promotes,8,8,high,the kinetic profiles of antibody aggregation at 65 degrees C were pH dependent
excipients,formulation,aggregation,stability,promotes,8,8,high,resulted in reversible solid-state protein structural alteration and increased aggregation during storage
pH,formulation,binding activity,stability,modifies,8,8,high,minimize pH changes to preserve the original distribution of bound and unbound protein
glycan,sequence,stability,stability,positive,7,6,high,oligosaccharides...provided significant stabilizing energy.
amino acid sequence,sequence,stability,stability,correlates,7,6,high,consistent with a greater stability of the IgG4-PE molecule
agitation,stress,particle formation,quality_outcome,promotes,7,7,high,agitation...may increase the detrimental effects...of protein interactions with interfaces
binding activity,structure,binding activity,quality_outcome,modifies,7,7,high,the attachment site in dimers and conjugates...had a significant influence on the antibody recognition
humanization,sequence,immunogenicity,quality_outcome,stabilizes,6,6,high,Humanization is the most promising generally applicable approach to overcoming the immunogenicity of rodent MAbs.
biological activity,formulation,biological activity,stability,stabilizes,6,6,high,robust ADCC mediated by autologous effector cells from the same patients
binding activity,structure,conformational change,structure,induces,6,6,high,induced by an anti-lectin domain mAb (LAM1-116) and recognized by another mAb.
binding activity,structure,stability,stability,stabilizes,6,6,high,gL binding gH at the N-terminal domain acts to draw together the C-terminal extracellular domain
stress conditions,stress,aggregation,stability,promotes,6,6,high,monoclonal antibodies are prone to aggregation under stress conditions
excipients,formulation,glycosylation,quality_outcome,positive,6,5,high,some media supplements had a net positive impact on productivity and glycosylation
formulation,formulation,n/a,quality_outcome,promotes,6,6,high,particles are easier to see because of the staining.
binding activity,structure,instability,stability,destabilizes,6,6,high,The suppression of Factor IX activity and the prolongation of aPTT were rapid and dose dependent.
n-glycosylation,sequence,biological activity,stability,stabilizes,6,6,high,glycosylation appears to be sufficient for the production of a soluble and biologically active IgG
light exposure,stress,aggregation,stability,promotes,6,6,high,light exposure of the conjugate...suggesting that aggregation was the result of light exposure
aggregation,stability,immunogenicity,quality_outcome,promotes,6,6,high,misfolding can impact safety by eliciting unwanted immune or other off-target responses.
high temperature,stress,fragmentation,stability,promotes,5,5,high,high-column temperature and low pH required for RP assays can induce on-column cleavage
apt4 igg,sequence,aggregation,quality_outcome,requires,5,1,high,Apt4 whole IgG caused the aggregation of both platelet rich plasma (PRP) and washed platelets.
n-linked glycosylation,sequence,stability,stability,positive,5,5,high,N-linked glycosylation plays a key role in promoting the formation and the stability of the disulfide bonds
high protein concentration,formulation,increased viscosity,stability,promotes,5,5,high,the viscosity of one of the monoclonal antibodies...is highly dependent on protein concentration
formulation,formulation,clearance,stability,destabilizes,5,5,high,Clinically relevant covariates affecting clearance were body weight (+43.2% from 70 to 120kg)
charge variants,sequence,stability,stability,influences,5,5,high,Antibody charge variants have gained considerable attention in the biotechnology industry due to their potential influen
high concentration,formulation,increased viscosity,stability,promotes,5,5,high,The large increase in viscosity of highly concentrated monoclonal antibody solutions can be challenging for downstream p
glycosylation,sequence,biological activity,quality_outcome,promotes,5,5,high,"Glycosylation of the mAbs can be associated with effector functions, such as antibody-dependent cellular cytotoxicity an"
high concentration,formulation,viscosity,stability,promotes,5,5,high,MAb-H and -A showed significantly higher viscosities as compared to MAb-G and -E.
disulfide bonds,structure,stability,stability,modifies,5,5,high,10 disulfide bonds were consistent with theoretical structure.
polysorbate 80,formulation,adsorption,stability,stabilizes,5,5,high,significant adsorption of polysorbate 80 to sterilizing-grade filters
oxidation,stress,aggregation,stability,promotes,5,5,high,adalimumab was subjected to oxidation...to generate all possible degradation products.
pH,formulation,n/a,stability,modifies,5,5,high,optimization of electrophoretic separation conditions concerning pH
low pH,formulation,stability,stability,positive,5,5,high,the acid conformation is stable
high concentration,formulation,stability,stability,dimeric form,5,5,high,linked to the stabilisation of cetuximab under dimeric form by a higher protein concentration.
biological activity,stress,instability,quality_outcome,promotes,5,5,high,prolonged pulmonary replication of RSV in the presence of PZ was followed by the appearance of viruses resistant to PZ.
