cause,category_cause,effect,category_effect,relationship,frequency,num_papers,main_confidence,sample_evidence,pmid_list
formulation,formulation,stability,stability,stabilizes,16,16,high,informing formulation optimization and mitigating risks before clinical trials,24700358;25691715;31465737;31544842;34150733;35595030;36449030;37129719;37715502;38034948;39993712;40224412;40250626;40284014;40916631;41487745
temperature,stress,aggregation,stability,increases,15,11,high,"Global stressors affect the entire protein population, for example, temperature.",16316730;23873602;26267255;26692229;29750942;30226382;32656609;33271135;36306862;41077160;9165528
glycosylation,sequence,stability,stability,increases,13,13,high,glycosylation is recognized as an important critical quality attribute (CQA) that can affect stability,23078371;24662970;25484062;30512936;30720351;31173761;32334683;35481906;36873370;37354999;39598782;40139530;41007619
aggregation,stability,immunogenicity,quality_outcome,increases,13,13,high,the immunogenicity of the glycosylated Fab was lower than that of the wild-type Fab.,25350583;31669120;32360204;33751827;34059716;34907498;35735359;35967308;40139530;40307023;41079721;41554462;41580053
thermal stress,stress,aggregation,stability,increases,11,11,high,aggregation propensity under thermal stress in all ADCs tested.,21518762;32027921;38518870;38679233;39427803;39551289;40069104;40414350;41075456;41363543;41602181
pH,formulation,aggregation,stability,increases,10,10,high,an effect that was enhanced at pH 7.4 relative to pH 5.,16316730;19931468;20686240;23280943;26267255;26692229;26851357;27449627;40403800;41678356
nanobodies,sequence,stability,stability,increases,10,9,medium,"Nanobodies... offer distinct engineering benefits... including small size, stability, and specificity.",31495493;39880295;40854350;40858048;40910255;41485660;41562774;41692044;41716468
formulation,formulation,aggregation,stability,promotes,9,8,high,Formulations reduced aggregation of native Fab and IgG relative to vehicle up to 50%.,25522000;27519363;28917988;28939995;34453927;38474544;38761862;40284529
conformational stability,stability,aggregation,stability,promotes,8,8,high,the instability against aggregation is determined by the least stable domains.,19899812;21518762;26267255;26692229;28593474;29537925;31348937;31669120
sucrose,formulation,aggregation,stability,decreases,7,7,high,All tested excipients significantly reduced aggregation of both mAbs during low-pH incubation.,23184227;26851357;32656609;32911043;34907498;39564766;41471335
freeze-thaw,stress,aggregation,stability,induces,7,7,high,F/T operations... induce protein aggregation.,17823949;24832730;33989996;34059716;39279529;39389538;40021009
excipients,formulation,stability,stability,increases,6,6,high,Excipients are critical components of a biotherapeutic product as they have a direct impact on the product's stability.,24709473;26851357;31005704;31465737;31487466;37715502
glycosylation,sequence,immunogenicity,quality_outcome,increases,6,6,high,glycosylation is recognized as an important critical quality attribute (CQA) that can affect immunogenicity,25484062;30512936;32334683;35481906;40139530;41007619
light exposure,stress,aggregation,stability,induces,6,6,high,"Following light exposure, the stability of ADCs was assessed by examining critical quality attributes.",35595030;38401872;39527351;41083059;41273300;41304735
conformational change,stability,aggregation,stability,promotes,6,6,high,Conformational changes leading to aggregation were analyzed.,24994667;27452990;30031090;34048928;36308923;40403800
pH,formulation,stability,stability,increases,6,6,high,the most critical factor in establishing a stable formulation,19780136;19931468;20686240;31697947;39177850;39492542
oxidation,stability,aggregation,stability,increases,6,6,high,the monitoring of these product quality attributes at different process development stages...allows a better understandi,21518762;33035540;38401872;40306556;41075456;41273300
sucrose,formulation,stability,stability,stabilizes,6,5,high,Sucrose is a common cryoprotectant and lyoprotectant to stabilize labile biopharmaceuticals.,20723008;25091348;31622600;32656609;34411614
agitation stress,stress,aggregation,stability,promotes,6,6,high,A synergistic stimulation of aggregation by a combination of agitation and silicone oil was observed.,19360857;34563536;38070776;39179400;39389538;41077160
trehalose,formulation,aggregation,stability,inhibits,6,6,high,All tested excipients significantly reduced aggregation of both mAbs during low-pH incubation.,26654052;27449627;31659590;34907498;39870255;41471335
hydrophobicity,structure,aggregation,stability,increases,6,6,high,demonstrate the prediction of aggregation rate in monoclonal antibodies.,37379257;38679233;39410752;40753112;40999852;41678356
molecular dynamics,structure,stability,stability,increases,6,6,medium,stability improvement.,35123137;41007619;41186834;41219042;41301505;41539507
high concentration,formulation,stability,stability,increases,6,6,high,"This work pioneers a high-concentration antioxidant strategy, addressing a critical gap in mAb formulation science.",25961854;34813800;36442683;36788124;39555969;40978010
trehalose,formulation,stability,stability,stabilizes,5,5,high,trehalose is insufficient to ensure adequate protein stability after stress under high humidity.,24468629;25691715;32882422;40638232;9165528
temperature,stress,stability,stability,destabilizes,5,5,high,"Mildly acidic, low-salt conditions were found optimal, ensuring bsAb stability for 30 days even at elevated temperature ",24006374;24121431;31465737;39177850;41797147
ionic strength,formulation,colloidal stability,stability,destabilizes,5,5,high,"Salts stabilized or destabilized MAbs, depending on repulsive or attractive interactions.",23319172;31689429;35081405;38661388;41022695
high concentration,formulation,viscosity,stability,increases,5,5,high,balance protein stability attributes such as conformational/colloidal stability,34813800;36442683;37225929;38240032;39824982
thermal stress,stress,stability,stability,destabilizes,5,5,high,highly improved protein stability to oxidative and thermal stress,26984378;35107019;37933954;39427803;40583907
unfolding,stability,aggregation,stability,promotes,5,5,high,Higher resistance against unfolding and therefore a better tolerance against nebulization-induced stresses.,23873602;30345143;31441367;39427803;41580053
aggregation,stability,stability,stability,destabilizes,5,4,high,Horizontal shaking more effectively revealed Cetuximab's susceptibility to aggregation under mechanical and interfacial ,30539473;34059716;40139530;41254318
mechanical stress,stress,aggregation,stability,induces,5,4,high,mechanical stress... can induce antibody unfolding and aggregation.,21518762;38518870;39481661;40956952
formulation,formulation,thermal stability,stability,requires,5,3,medium,"some excipients, such as sucrose, polysorbate 80, and sodium phosphate, increase its stability.",10549572;25385011;31306023
structure,structure,stability,stability,requires,4,4,high,"the quantity of drugs attached to the antibody influences the antibody structure, stability, and efficacy",24700358;28416374;33633189;34380625
drug-antibody ratio,formulation,stability,stability,increases,4,4,high,"drug-to-antibody ratio wherein the quantity of drugs attached to the antibody influences the antibody structure, stabili",33633189;37196158;41012501;41579215
polysorbate 80,formulation,particle formation,stability,decreases,4,4,high,Polysorbate 80 was effective at suppressing particle formation induced by stirring.,24449131;34090901;37081185;39370821
light exposure,stress,photodegradation,stability,induces,4,4,high,"Light exposure during manufacturing, storage, and administration can lead to the photodegradation of therapeutic protein",35595030;38847283;39013609;41273300
oxidation,sequence,fragmentation,stability,increases,4,2,high,the monitoring of these product quality attributes at different process development stages...allows a better understandi,35219863;41075456
heat stress,stress,aggregation,stability,induces,4,4,high,we generated aggregates by submitting infliximab to a heat stress for various time of incubation.,24452866;35081405;39389538;41554462
pH,stress,thermal stability,stability,increases,4,4,high,study the thermal stability of a monoclonal antibody (mAb) at pH = 6,22970319;25221926;27449627;35735569
disulfide bond,structure,stability,stability,increases,4,3,high,introduced a novel engineered disulfide bond at a solvent inaccessible location in the CH2 domain.,27994062;30327432;35708974
spray drying,stress,stability,stability,increases,4,4,high,"SD was performed, and the protein stability was compared to that prior SD.",25691715;38513817;40057212;40280286
excipients,formulation,aggregation,stability,decreases,4,4,high,revealed an excellent correlation regarding SM101 aggregation.,23873602;24709473;28456733;40284529
self-association,stability,high viscosity,stability,increases,4,4,high,predictive of antibody developability issues of high viscosity and opalescence,30395473;31563513;34105965;36668814
hydrophobicity,structure,stability,stability,increases,4,4,high,"Hydrophobicity is a critical molecular attribute that affects solubility, aggregation, and stability.",32486889;34504010;35603430;40999852
ester payloads,formulation,cleavage,stability,promotes,4,1,high,ADCs bearing the ester-linked payloads are active in various immune-suppressive assays.,36058468
protein engineering,sequence,stability,stability,increases,4,4,medium,"improve the stability, engagement of cytotoxic CD8 T cells and multi-antigen targeting strategy",26848610;31173761;41248814;41301547
solubility,stability,stability,stability,increases,4,4,high,the solubility and stability of a protein can be determined,21280052;32323080;40858048;9385638
HPbetaCD,formulation,aggregation,stability,inhibits,4,3,high,The introduction of HPbetaCD in formulations showed it considerably reduced aggregation.,26654052;36235038;38675488
thermal stress,stress,deamidation,stability,increases,4,3,high,"predominantly involving deamidation, isomerization of aspartic acid, oxidation, and succinimide modifications.",30130444;38570351;39551289
conjugation site,sequence,stability,stability,increases,4,3,high,The stability of ADC is closely related to the conjugation site.,34363839;39363186;41012501
conformational stability,stability,aggregation propensity,stability,inhibits,4,4,high,Sugars improved the aggregation propensity under freeze-thaw stress through improved conformational stability.,23319172;31835127;32254292;38951451
bispecific antibodies,structure,stability,stability,increases,4,4,medium,"BsAbs still pose challenges concerning stability, pharmacokinetics, and immunogenicity.",20521223;26659273;38863707;40819765
sucrose,formulation,conformational stability,stability,stabilizes,4,4,high,"These additives enhanced conformational stability, as evidenced by the increased melting temperatures (Tm).",23315232;26869421;40029670;41471335
AL101,formulation,PGRN levels,stability,increases,4,1,high,AL101 increased PGRN levels by decreasing cell surface sortilin levels.,40713730
self-association,stability,aggregation,stability,promotes,4,4,high,deamidation causes increases in self-association and/or aggregation at low pH.,23665445;30916563;38572979;40284529
linker stability,formulation,stability,stability,promotes,4,4,high,The stability results indicated that acDrug was stable at all stability test conditions.,32225092;41001717;41012501;41444020
shaking stress,stress,aggregation,stability,increases,4,4,high,The aggregation of ADCs was evaluated under shaking stress conditions.,19922795;35257695;38679233;38679234
immunoassay,formulation,stability,stability,increases,4,4,medium,demonstrated high specificity for NT-IGFBP-4.,30892061;39492542;40842315;41085635
glycosylation,sequence,aggregation,stability,decreases,4,4,high,Introduction of a glycosylation site in the constant region decreases the aggregation of adalimumab Fab.,22327432;29909010;38890199;40575132
high concentration,formulation,colloidal stability,stability,isomerizes,4,4,high,some aspects showing improved outcomes in colloidal stability.,37214886;37334968;39824982;40978010
polysorbate 20,formulation,particle formation,stability,inhibits,4,3,high,the addition of the surfactant led to reduced particle formation.,26413998;38385557;39862973
QSAR,structure,isomerization,stability,increases,4,1,high,The resulting quantitative structure-activity relationship (QSAR) model was trained using previously published forced de,38546837
freeze-drying,stress,stability,stability,promotes,4,4,high,Freeze-drying is used to improve the long term stability of pharmaceutical proteins.,20039389;25091348;27706175;32696399
residual protease activity,formulation,fragmentation,stability,induces,3,3,high,residual acidic host cell protease(s) in the formulation samples caused the fragmentation of mAb-X.,21404269;30836312;34022391
conjugation,formulation,stability,stability,decreases,3,3,high,the stability detected by DSC was decreased by conjugation.,35104102;36046112;40540979
PTCR,formulation,sequence coverage,stability,increases,3,1,high,PTCR-based MD MS analysis increases not only sequence coverage.,39283368
temperature,stress,conformational stability,stability,destabilizes,3,3,high,Protein conformational stabilities against chaotropes and temperature were measured.,19899812;26267255;27138878
disulfide bonds,structure,stability,stability,stabilizes,3,3,high,"Analysis of the disulfide bonds (DSBs) is vital to ensuring the correct assembly, stability, and higher-order structures",30501176;40939195;41400128
aggregation,stability,colloidal stability,stability,destabilizes,3,3,high,abatacept was weakly colloidally unstable at pH 6 or 7.5.,19899812;25514497;27449627
glycosylation,sequence,conformational stability,stability,modifies,3,3,high,effects of N-glycosylation site occupancy and Asp/Gln residues at site Asn 297.,24740840;29909010;32360204
shear stress,stress,aggregation,stability,increases,3,3,high,Proteins are sensitive against aerosolization-associated shear stress.,28917988;30031090;39862973
nanobody size,structure,stability,stability,increases,3,3,high,"their small size at 15kDa, low structural complexity, and high stability compared with conventional antibodies",39433212;41519002;41631412
mutation,sequence,stability,stability,increases,3,3,high,mutations of critical residues located on the Fc dimerization interface allowed the expression of fully stable EPO monom,31614869;34305971;38173178
low pH,stress,aggregation,stability,promotes,3,3,high,protein aggregation during intra-column buffer transition where low pH and high salt coexisted.,27452990;31441367;39527351
polysorbates,formulation,aggregation,stability,destabilizes,3,3,high,"Polysorbates are prone to degradation, which results in unwanted impurities.",36235038;37415319;38675488
disulfide bonds,structure,thermal stability,stability,stabilizes,3,2,high,increased thermal stability in all Fab mutants with engineered disulfide bonds.,35476872;41276554
agitation,stress,particle formation,stability,promotes,3,3,high,Agitation with siliconized beads greatly accelerated the formation of protein aggregates and particles.,23280943;24449131;27025981
high temperature,stress,aggregation,stability,induces,3,3,high,the high temperature formed during dropping was probably the root cause for protein aggregation and free radical formati,28593474;31545968;33049261
niosomes,formulation,stability,stability,increases,3,3,high,"niosomes were characterized for size, shape, entrapment efficiency and in process antigen stability.",21609785;30700021;40757003
ionic strength,formulation,aggregation,stability,induces,3,3,high,production and storage conditions have been identified as capable of inducing aggregation,26692229;35081405;39527351
aggregates,stability,immunogenicity,quality_outcome,increases,3,3,high,Aggregates of therapeutic proteins have been associated with increased immunogenicity.,35336045;35967308;41785641
biotransformation,structure,stability,stability,modifies,3,3,medium,the relevance of studying macromolecule biotransformation and elucidating the ADC structure-stability relationship,31643059;39392424;39816793
binding,structure,thermal stability,stability,increases,3,3,high,Each protein not only displayed increased thermal stability.,27541006;31548523;32014561
linker,formulation,stability,stability,increases,3,3,high,a critical structural determinant contributing to the ADC design was the linker,31997712;39392424;41015828
stabilized fragments,stability,durability,stability,stabilizes,3,1,high,"Once stabilized, these antibody fragments demonstrate improved durability during purification.",19252856
